year,cpi
1/1/1990,148.9
1/1/1991,154.8
1/1/1992,159.4
1/1/1993,164.3
1/1/1994,169.2
1/1/1995,175.1
1/1/1996,180.3
1/1/1997,186.3
1/1/1998,192.6
1/1/1999,197.4
1/1/2000,204.3
1/1/2001,213
1/1/2002,219.6
1/1/2003,224.4
1/1/2004,230.4
1/1/2005,236.6
1/1/2006,246.5
1/1/2007,254.077
1/1/2008,258.767
1/1/2009,259.08
1/1/2010,259.933
1/1/2011,264.827
1/1/2012,270.565
1/1/2013,277.385
1/1/2014,285.343
1/1/2015,294.565
1/1/2016,305.333
1/1/2017,315.168
1/1/2018,325.281
1/1/2019,335.936
1/1/2020,342.183
1/1/2021,356.499
