"city_name","model_name","q025","q05","q50","q95","q975"
"Fremont","CFHO any, adjusted",0.0935565861528489,0.107718311548409,0.442396206996241,0.591961222444888,0.613960940550363
"Fremont","CFHO any, unadjusted",0.147929041862078,0.162112023142072,0.477123486802445,0.603991725351024,0.617799098725187
"Fremont","CFHO count, adjusted",0.0937793780484992,0.106775274173209,0.443100005349273,0.588687731446286,0.613026092736119
"Fremont","CFHO count, unadjusted",0.131632025181436,0.138430762617186,0.369444493811494,0.500498557612937,0.510361738968817
"Hayward","CFHO any, adjusted",0.235533887252078,0.247272796434099,0.368142401928566,0.449548273323573,0.458051636240364
"Hayward","CFHO any, unadjusted",0.245130044851585,0.257084970896799,0.377896428915864,0.450668439027595,0.461125149751937
"Hayward","CFHO count, adjusted",0.235337315454768,0.248543926374688,0.368393022623782,0.449453862013117,0.458273516092164
"Hayward","CFHO count, unadjusted",0.21317743474511,0.219093643509741,0.315202460695137,0.365730184788226,0.370210416236385
"Riverside","CFHO any, adjusted",0.02807687303116,0.0429203912108677,0.161432601906932,0.323819061588082,0.34140023174091
"Riverside","CFHO any, unadjusted",0.0266094591301006,0.0379979266543532,0.119714483432333,0.288707026936576,0.308930030177042
"Riverside","CFHO count, adjusted",0.0279875838880277,0.0438547572166896,0.159989831833207,0.323658006841325,0.342685566509995
"Riverside","CFHO count, unadjusted",0.0602940501475264,0.0708205920152438,0.137508762717193,0.256681846575078,0.270587304223917
"San Diego county 
(unincorporated cities)","CFHO any, adjusted",0.078159053449803,0.100444279858975,0.250801496178132,0.475652859319285,0.550441414047942
"San Diego county 
(unincorporated cities)","CFHO any, unadjusted",0.0930288113524288,0.116922674616692,0.26309174367449,0.48756444469187,0.562649743219854
"San Diego county 
(unincorporated cities)","CFHO count, adjusted",0.0762554129103763,0.100316918365443,0.250388354089049,0.477927085256706,0.549816348896981
"San Diego county 
(unincorporated cities)","CFHO count, unadjusted",0.0350363017338218,0.0533753225649868,0.172093928858097,0.436816752974266,0.532426367725569
"Across All Sites","CFHO any, adjusted",0.148573891719284,0.158906355392599,0.242879835577068,0.329007274544889,0.34484544814411
"Across All Sites","CFHO any, unadjusted",0.155388764152155,0.16483095834373,0.23454164417713,0.325063613005301,0.344697581396077
"Across All Sites","CFHO count, adjusted",0.147450904323962,0.15817187070691,0.243052184627523,0.328212530726513,0.343613640926135
"Across All Sites","CFHO count, unadjusted",0.110919139150814,0.119183791427425,0.194138298720835,0.301846170081265,0.334585956406449
