"city_name","model_name","q025","q50","q975"
"Fremont","CFHO any, unadjusted",0.159458391165397,0.459310487640509,0.604314826746148
"Fremont","CFHO any, adjusted",0.141913989535583,0.407871748910499,0.575636655759331
"Fremont","CFHO count, unadjusted",0.137484281907936,0.329022809043504,0.498047191644671
"Fremont","CFHO count, adjusted",0.0617889973400846,0.231593102313972,0.446143509436923
"Hayward","CFHO any, unadjusted",0.255051238700797,0.382405756311157,0.451914372037972
"Hayward","CFHO any, adjusted",0.246165158593361,0.353965033873494,0.452419248315363
"Hayward","CFHO count, unadjusted",0.218945405318125,0.304351259401325,0.365113332781827
"Hayward","CFHO count, adjusted",0.181056214818122,0.286710168406738,0.333940355877874
"Riverside","CFHO any, unadjusted",0.0385892339642105,0.126833416980471,0.291711262325213
"Riverside","CFHO any, adjusted",0.0470123654071723,0.160827177446948,0.324989455602413
"Riverside","CFHO count, unadjusted",0.0698442664507972,0.145780964675308,0.257938992028456
"Riverside","CFHO count, adjusted",0.114831508758863,0.20870061065907,0.282480367264891
"San Diego County","CFHO any, unadjusted",0.0854984165821004,0.274201838614535,0.509402352026006
"San Diego County","CFHO any, adjusted",0.0726881469154689,0.257946609056995,0.492709172593903
"San Diego County","CFHO count, unadjusted",0.0374914621469478,0.18706949957473,0.475332968342037
"San Diego County","CFHO count, adjusted",0.0307379930530762,0.173595192180479,0.465401232585039
"Across Sites","CFHO any, unadjusted",0.153946199755028,0.239734888086864,0.329908035929992
"Across Sites","CFHO any, adjusted",0.143828542919575,0.247334701808409,0.325940237438892
"Across Sites","CFHO count, unadjusted",0.117924623901234,0.202680574995745,0.313452706587926
"Across Sites","CFHO count, adjusted",0.125028893825342,0.214098061633525,0.319390181620552
